year,city,avg_temp,10y_ma
1850,Dallas,17.74,17.68
1851,Dallas,17.91,17.69
1852,Dallas,17.4,17.72
1853,Dallas,17.17,17.7
1854,Dallas,18.14,17.62
1855,Dallas,17.61,17.69
1856,Dallas,16.93,17.66
1857,Dallas,17.31,17.58
1858,Dallas,17.9,17.5
1859,Dallas,17.91,17.58
1860,Dallas,18.34,17.63
1861,Dallas,18.41,17.67
1862,Dallas,18.35,17.73
1863,Dallas,17.9,17.77
1864,Dallas,17.41,17.82
1865,Dallas,17.95,17.84
1866,Dallas,17.79,17.82
1867,Dallas,18.45,17.84
1868,Dallas,17.61,17.97
1869,Dallas,16.94,18
1870,Dallas,17.82,17.91
1871,Dallas,18.27,17.91
1872,Dallas,17.28,17.9
1873,Dallas,17.37,17.8
1874,Dallas,18.24,17.71
1875,Dallas,17.24,17.74
1876,Dallas,17.67,17.72
1877,Dallas,17.53,17.7
1878,Dallas,18.01,17.67
1879,Dallas,18.37,17.63
1880,Dallas,17.75,17.7
1881,Dallas,18.17,17.78
1882,Dallas,18.21,17.81
1883,Dallas,17.77,17.8
1884,Dallas,17.44,17.85
1885,Dallas,16.82,17.85
1886,Dallas,17.22,17.73
1887,Dallas,17.89,17.72
1888,Dallas,17.28,17.74
1889,Dallas,17.71,17.72
1890,Dallas,18.5,17.69
1891,Dallas,17.35,17.71
1892,Dallas,17.21,17.67
1893,Dallas,18.01,17.58
1894,Dallas,17.96,17.56
1895,Dallas,17.02,17.58
1896,Dallas,18.6,17.54
1897,Dallas,17.93,17.7
1898,Dallas,17.41,17.77
1899,Dallas,17.59,17.73
1900,Dallas,18.08,17.75
1901,Dallas,18.02,17.79
1902,Dallas,18.03,17.74
1903,Dallas,16.64,17.81
1904,Dallas,18.12,17.75
1905,Dallas,16.97,17.76
1906,Dallas,17.3,17.67
1907,Dallas,18.44,17.7
1908,Dallas,18.24,17.68
1909,Dallas,18.62,17.71
1910,Dallas,18.49,17.82
1911,Dallas,19.11,17.9
1912,Dallas,17.1,18
1913,Dallas,17.57,17.91
1914,Dallas,17.75,17.87
1915,Dallas,17.67,17.97
1916,Dallas,18.23,17.93
1917,Dallas,17.3,18.05
1918,Dallas,18.2,18.05
1919,Dallas,17.41,18.03
1920,Dallas,17.55,17.95
1921,Dallas,19.48,17.85
1922,Dallas,18.6,17.94
1923,Dallas,18.15,17.9
1924,Dallas,17.48,17.99
1925,Dallas,18.98,17.98
1926,Dallas,17.62,18.1
1927,Dallas,18.79,18.09
1928,Dallas,17.93,18.14
1929,Dallas,17.58,18.2
1930,Dallas,18.04,18.14
1931,Dallas,18.57,18.2
1932,Dallas,17.99,18.29
1933,Dallas,19.34,18.16
1934,Dallas,19.34,18.22
1935,Dallas,18.09,18.33
1936,Dallas,18.21,18.39
1937,Dallas,17.94,18.32
1938,Dallas,19.12,18.35
1939,Dallas,19.16,18.38
1940,Dallas,17.19,18.49
1941,Dallas,18.27,18.45
1942,Dallas,17.94,18.47
1943,Dallas,18.42,18.42
1944,Dallas,18.4,18.46
1945,Dallas,18.06,18.37
1946,Dallas,18.91,18.25
1947,Dallas,17.96,18.33
1948,Dallas,18.26,18.31
1949,Dallas,18.05,18.34
1950,Dallas,18.15,18.24
1951,Dallas,18.63,18.15
1952,Dallas,18.85,18.28
1953,Dallas,18.82,18.33
1954,Dallas,19.67,18.41
1955,Dallas,18.73,18.52
1956,Dallas,19.36,18.55
1957,Dallas,18.1,18.67
1958,Dallas,17.63,18.6
1959,Dallas,17.75,18.57
1960,Dallas,17.71,18.52
1961,Dallas,17.68,18.49
1962,Dallas,18.32,18.45
1963,Dallas,18.84,18.42
1964,Dallas,18.38,18.42
1965,Dallas,18.54,18.38
1966,Dallas,17.61,18.28
1967,Dallas,18.33,18.17
1968,Dallas,17.36,18.08
1969,Dallas,18.15,18.01
1970,Dallas,17.91,18.06
1971,Dallas,18.51,18.08
1972,Dallas,18.31,18.15
1973,Dallas,17.98,18.21
1974,Dallas,18.26,18.17
1975,Dallas,17.95,18.12
1976,Dallas,17.45,18.08
1977,Dallas,18.88,17.98
1978,Dallas,17.82,18.1
1979,Dallas,17.11,18.05
1980,Dallas,18.77,18.03
1981,Dallas,18.41,18.09
1982,Dallas,18.17,18.13
1983,Dallas,17.2,18.1
1984,Dallas,18.47,18
1985,Dallas,18.22,18.04
1986,Dallas,18.83,18.04
1987,Dallas,18.28,18.12
1988,Dallas,18.19,18.2
1989,Dallas,17.48,18.13
1990,Dallas,18.97,18.1
1991,Dallas,18.47,18.27
1992,Dallas,18.19,18.24
1993,Dallas,17.82,18.22
1994,Dallas,18.31,18.19
1995,Dallas,18.45,18.29
1996,Dallas,18.43,18.29
1997,Dallas,17.85,18.31
1998,Dallas,19.85,18.22
1999,Dallas,19.61,18.36
2000,Dallas,18.9,18.49
2001,Dallas,18.55,18.62
2002,Dallas,18.19,18.58
2003,Dallas,18.55,18.56
2004,Dallas,18.58,18.59
2005,Dallas,19.13,18.66
2006,Dallas,19.85,18.74
2007,Dallas,18.42,18.86
2008,Dallas,18.52,18.86
2009,Dallas,18.42,18.92
2010,Dallas,18.69,18.79
2011,Dallas,19.69,18.71
2012,Dallas,19.99,18.78
2013,Dallas,20.45,18.91
