year,city,avg_temp,10y_ma
1850,Denver,8.24,8.28
1851,Denver,8.83,8.25
1852,Denver,7.84,8.31
1853,Denver,8.52,8.29
1854,Denver,9.22,8.29
1855,Denver,8.81,8.43
1856,Denver,8.11,8.49
1857,Denver,8.57,8.43
1858,Denver,8.45,8.36
1859,Denver,7.81,8.43
1860,Denver,8.95,8.42
1861,Denver,9.21,8.49
1862,Denver,8.59,8.57
1863,Denver,8.92,8.55
1864,Denver,8.53,8.65
1865,Denver,8.49,8.65
1866,Denver,8.46,8.59
1867,Denver,9.26,8.55
1868,Denver,8.49,8.66
1869,Denver,7.75,8.65
1870,Denver,8.84,8.59
1871,Denver,9.35,8.68
1872,Denver,7.73,8.72
1873,Denver,8.1,8.58
1874,Denver,8.72,8.54
1875,Denver,7.68,8.52
1876,Denver,8.37,8.44
1877,Denver,8.23,8.43
1878,Denver,8.68,8.41
1879,Denver,9.29,8.36
1880,Denver,7.8,8.43
1881,Denver,8.92,8.44
1882,Denver,8.62,8.44
1883,Denver,7.94,8.38
1884,Denver,7.9,8.4
1885,Denver,8.24,8.38
1886,Denver,8.47,8.33
1887,Denver,8.75,8.41
1888,Denver,8.85,8.44
1889,Denver,8.73,8.5
1890,Denver,9.1,8.5
1891,Denver,7.75,8.48
1892,Denver,8,8.48
1893,Denver,8.78,8.4
1894,Denver,8.8,8.41
1895,Denver,7.6,8.49
1896,Denver,9.24,8.46
1897,Denver,8.45,8.55
1898,Denver,7.97,8.55
1899,Denver,8.01,8.48
1900,Denver,9.32,8.4
1901,Denver,9.05,8.46
1902,Denver,8.82,8.45
1903,Denver,7.93,8.55
1904,Denver,8.86,8.54
1905,Denver,8.13,8.55
1906,Denver,8.49,8.49
1907,Denver,9.01,8.57
1908,Denver,8.6,8.55
1909,Denver,8.04,8.56
1910,Denver,9.78,8.57
1911,Denver,8.85,8.73
1912,Denver,7.21,8.69
1913,Denver,7.85,8.52
1914,Denver,8.94,8.43
1915,Denver,8.16,8.52
1916,Denver,8.34,8.46
1917,Denver,8.06,8.48
1918,Denver,8.46,8.44
1919,Denver,8.29,8.39
1920,Denver,8.19,8.36
1921,Denver,9.77,8.38
1922,Denver,8.75,8.37
1923,Denver,7.99,8.37
1924,Denver,7.76,8.44
1925,Denver,9.13,8.43
1926,Denver,8.88,8.45
1927,Denver,8.79,8.51
1928,Denver,8.32,8.55
1929,Denver,7.75,8.58
1930,Denver,8.37,8.51
1931,Denver,9.35,8.52
1932,Denver,8.54,8.62
1933,Denver,9.87,8.51
1934,Denver,10.92,8.61
1935,Denver,9.36,8.88
1936,Denver,9.39,9.03
1937,Denver,8.74,9.05
1938,Denver,9.54,9.04
1939,Denver,9.52,9.1
1940,Denver,9.07,9.21
1941,Denver,9.05,9.33
1942,Denver,8.46,9.4
1943,Denver,9.55,9.31
1944,Denver,8.58,9.41
1945,Denver,8.6,9.29
1946,Denver,9.57,9.08
1947,Denver,8.68,9.1
1948,Denver,8.5,9.03
1949,Denver,8.77,9.01
1950,Denver,9.32,8.94
1951,Denver,8.06,8.92
1952,Denver,9.15,8.83
1953,Denver,9.73,8.84
1954,Denver,10.62,8.96
1955,Denver,8.94,9.05
1956,Denver,9.38,9.09
1957,Denver,8.72,9.16
1958,Denver,9.32,9.08
1959,Denver,8.7,9.14
1960,Denver,8.5,9.16
1961,Denver,8.3,9.13
1962,Denver,9.17,9.04
1963,Denver,9.9,9.14
1964,Denver,8.73,9.21
1965,Denver,8.73,9.12
1966,Denver,8.97,8.94
1967,Denver,8.91,8.95
1968,Denver,8.72,8.9
1969,Denver,8.95,8.9
1970,Denver,8.87,8.87
1971,Denver,8.75,8.89
1972,Denver,8.71,8.91
1973,Denver,8.42,8.95
1974,Denver,9.06,8.88
1975,Denver,8.72,8.8
1976,Denver,9.19,8.8
1977,Denver,9.89,8.84
1978,Denver,8.59,8.93
1979,Denver,8.47,8.9
1980,Denver,9.46,8.87
1981,Denver,10.25,8.92
1982,Denver,8.67,9.05
1983,Denver,8.43,9.04
1984,Denver,8.54,9.01
1985,Denver,8.33,9.02
1986,Denver,9.99,8.96
1987,Denver,9.33,9.07
1988,Denver,9.19,9.09
1989,Denver,9.07,9.02
1990,Denver,9.28,9.07
1991,Denver,9.32,9.14
1992,Denver,9.16,9.13
1993,Denver,8.18,9.03
1994,Denver,10.02,8.98
1995,Denver,9.21,9.13
1996,Denver,9.31,9.19
1997,Denver,8.85,9.28
1998,Denver,9.81,9.17
1999,Denver,10.05,9.22
2000,Denver,10,9.3
2001,Denver,10.01,9.38
2002,Denver,9.61,9.45
2003,Denver,10.04,9.47
2004,Denver,9.54,9.55
2005,Denver,10.06,9.68
2006,Denver,9.96,9.68
2007,Denver,9.48,9.75
2008,Denver,9.09,9.76
2009,Denver,8.89,9.79
2010,Denver,9.76,9.7
2011,Denver,9.38,9.68
2012,Denver,10.92,9.62
2013,Denver,11.21,9.7
