year,city,avg_temp,10y_ma
1850,Seattle,7.06,6.98
1851,Seattle,7.79,6.96
1852,Seattle,7.08,7.07
1853,Seattle,7.61,7.09
1854,Seattle,6.99,7.17
1855,Seattle,7.31,7.21
1856,Seattle,7.44,7.3
1857,Seattle,7.91,7.36
1858,Seattle,6.91,7.41
1859,Seattle,6.27,7.22
1860,Seattle,7.63,7.19
1861,Seattle,7.18,7.27
1862,Seattle,6.36,7.28
1863,Seattle,7.44,7.15
1864,Seattle,7.64,7.19
1865,Seattle,7.05,7.19
1866,Seattle,7.39,7.19
1867,Seattle,7.12,7.2
1868,Seattle,6.99,7.17
1869,Seattle,8.33,7.09
1870,Seattle,7.85,7.22
1871,Seattle,7.97,7.36
1872,Seattle,7.34,7.39
1873,Seattle,7.47,7.41
1874,Seattle,7.32,7.51
1875,Seattle,6.9,7.5
1876,Seattle,7.12,7.43
1877,Seattle,8.14,7.44
1878,Seattle,7.89,7.5
1879,Seattle,6.74,7.57
1880,Seattle,5.95,7.55
1881,Seattle,6.86,7.34
1882,Seattle,6.88,7.25
1883,Seattle,6.97,7.15
1884,Seattle,6.81,7.11
1885,Seattle,8.66,7.05
1886,Seattle,7.85,7.17
1887,Seattle,6.77,7.26
1888,Seattle,7.73,7.23
1889,Seattle,8.08,7.19
1890,Seattle,7.03,7.21
1891,Seattle,7.61,7.24
1892,Seattle,7.54,7.39
1893,Seattle,6.16,7.45
1894,Seattle,6.88,7.38
1895,Seattle,7.26,7.37
1896,Seattle,7.2,7.42
1897,Seattle,7.5,7.28
1898,Seattle,7.6,7.25
1899,Seattle,7.08,7.33
1900,Seattle,7.95,7.27
1901,Seattle,7.27,7.26
1902,Seattle,7.33,7.28
1903,Seattle,6.98,7.25
1904,Seattle,7.7,7.2
1905,Seattle,7.59,7.34
1906,Seattle,7.99,7.41
1907,Seattle,7.28,7.47
1908,Seattle,7.32,7.48
1909,Seattle,6.52,7.46
1910,Seattle,7.24,7.36
1911,Seattle,6.73,7.38
1912,Seattle,7.43,7.27
1913,Seattle,6.99,7.28
1914,Seattle,7.92,7.25
1915,Seattle,8.13,7.34
1916,Seattle,6.23,7.38
1917,Seattle,7.25,7.25
1918,Seattle,7.85,7.19
1919,Seattle,6.94,7.24
1920,Seattle,7.19,7.2
1921,Seattle,7.2,7.26
1922,Seattle,6.66,7.26
1923,Seattle,7.82,7.25
1924,Seattle,7.46,7.29
1925,Seattle,8.26,7.33
1926,Seattle,8.72,7.36
1927,Seattle,7.3,7.42
1928,Seattle,7.86,7.51
1929,Seattle,6.96,7.57
1930,Seattle,7.23,7.49
1931,Seattle,8,7.51
1932,Seattle,7.37,7.59
1933,Seattle,7.06,7.6
1934,Seattle,9.04,7.64
1935,Seattle,7.33,7.75
1936,Seattle,7.67,7.74
1937,Seattle,7.39,7.69
1938,Seattle,8.12,7.56
1939,Seattle,8.25,7.64
1940,Seattle,8.81,7.67
1941,Seattle,8.83,7.84
1942,Seattle,8.1,7.99
1943,Seattle,7.51,8
1944,Seattle,7.84,8.01
1945,Seattle,7.57,8.08
1946,Seattle,7.39,7.95
1947,Seattle,8.03,7.95
1948,Seattle,6.68,7.99
1949,Seattle,7.05,7.92
1950,Seattle,6.77,7.82
1951,Seattle,7.33,7.69
1952,Seattle,7.56,7.55
1953,Seattle,8.11,7.44
1954,Seattle,7.04,7.44
1955,Seattle,6.09,7.4
1956,Seattle,7.18,7.24
1957,Seattle,7.52,7.2
1958,Seattle,9.28,7.21
1959,Seattle,7.5,7.33
1960,Seattle,7.51,7.4
1961,Seattle,8.12,7.44
1962,Seattle,7.66,7.57
1963,Seattle,7.91,7.6
1964,Seattle,6.83,7.63
1965,Seattle,7.91,7.51
1966,Seattle,7.88,7.59
1967,Seattle,8.38,7.75
1968,Seattle,7.73,7.86
1969,Seattle,7.51,7.88
1970,Seattle,7.55,7.72
1971,Seattle,7.1,7.73
1972,Seattle,7.09,7.69
1973,Seattle,7.58,7.6
1974,Seattle,7.72,7.59
1975,Seattle,7.09,7.57
1976,Seattle,7.46,7.59
1977,Seattle,7.63,7.55
1978,Seattle,7.78,7.53
1979,Seattle,7.88,7.48
1980,Seattle,7.75,7.49
1981,Seattle,8.23,7.51
1982,Seattle,7.35,7.57
1983,Seattle,7.94,7.6
1984,Seattle,7.41,7.67
1985,Seattle,6.71,7.66
1986,Seattle,8.25,7.57
1987,Seattle,8.67,7.67
1988,Seattle,8.1,7.78
1989,Seattle,7.87,7.82
1990,Seattle,8.09,7.83
1991,Seattle,8.2,7.85
1992,Seattle,9.03,7.89
1993,Seattle,7.68,7.97
1994,Seattle,8.35,8
1995,Seattle,8.62,8.03
1996,Seattle,7.61,8.14
1997,Seattle,8.41,8.22
1998,Seattle,8.7,8.24
1999,Seattle,7.79,8.24
2000,Seattle,7.72,8.21
2001,Seattle,7.9,8.2
2002,Seattle,8.03,8.18
2003,Seattle,8.74,8.17
2004,Seattle,9.04,8.14
2005,Seattle,8.57,8.26
2006,Seattle,8.49,8.28
2007,Seattle,8.04,8.27
2008,Seattle,7.57,8.31
2009,Seattle,8.02,8.24
2010,Seattle,8.25,8.17
2011,Seattle,7.35,8.22
2012,Seattle,8.08,8.18
2013,Seattle,9.95,8.2
